,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,salary,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,debutYear,seasonNum,yearID,playerID,Primary
17233,124,422,45,102,25,2,14,54.0,0.0,1.0,38,89.0,0.0,4.0,0.0,1.0,16.0,1.0,119.0,116.0,3021.0,665.0,52.0,7.0,3.0,4.0,63.0,34.0,2850000.0,170000.0,4286400.0,255680.0,4286400.0,0.24170616113744076,0.4099526066350711,0.3096774193548387,0.9903314917127072,1986,13,1998,steinte01,C
17255,146,517,76,146,31,1,24,81.0,2.0,3.0,52,132.0,10.0,0.0,0.0,7.0,19.0,1.0,133.0,130.0,3453.0,1228.0,60.0,8.0,128.0,0.0,0.0,0.0,2100000.0,200000.0,3089099.9999999995,294200.0,3089099.9999999995,0.28239845261121854,0.48549323017408125,0.34375,0.9938271604938271,1990,10,1999,stevele01,1B
17256,123,449,60,119,27,2,22,75.0,0.0,0.0,48,105.0,6.0,2.0,0.0,2.0,10.0,1.0,123.0,121.0,3109.0,1072.0,85.0,11.0,99.0,0.0,0.0,0.0,3500000.0,200000.0,4980500.0,284600.0,4980500.0,0.2650334075723831,0.48106904231625836,0.3373253493013972,0.990582191780822,1990,11,2000,stevele01,1B
17257,152,542,77,133,35,1,25,95.0,2.0,1.0,74,157.0,12.0,5.0,0.0,7.0,17.0,1.0,152.0,149.0,3912.0,1287.0,92.0,19.0,113.0,0.0,0.0,0.0,4000000.0,200000.0,5536000.000000001,276800.0,5536000.000000001,0.24538745387453875,0.45202952029520294,0.3375796178343949,0.9864091559370529,1990,12,2001,stevele01,1B
17258,116,358,50,73,13,2,15,57.0,1.0,0.0,54,89.0,5.0,0.0,0.0,5.0,9.0,5.0,99.0,92.0,2385.0,760.0,56.0,7.0,66.0,0.0,0.0,0.0,4000000.0,200000.0,5452000.000000001,272600.00000000006,5452000.000000001,0.20391061452513967,0.3770949720670391,0.30455635491606714,0.991494532199271,1990,13,2002,stevele01,1B
17276,48,122,14,19,6,1,0,6.0,3.0,2.0,14,37.0,2.0,0.0,0.0,0.0,1.0,1.0,42.0,31.0,852.0,25.0,54.0,6.0,3.0,0.0,0.0,0.0,2287500.0,414000.0,2493375.0,451260.00000000006,2493375.0,0.1557377049180328,0.22131147540983606,0.2426470588235294,0.9294117647058824,2007,5,2011,stewaia01,3B
17277,55,179,16,36,5,2,5,17.0,0.0,3.0,21,46.0,4.0,2.0,0.0,0.0,5.0,1.0,52.0,49.0,1310.0,21.0,86.0,5.0,4.0,0.0,0.0,0.0,2237500.0,480000.0,2389650.0,512640.0,2389650.0,0.2011173184357542,0.33519553072625696,0.29207920792079206,0.9553571428571429,2007,6,2012,stewaia01,3B
17285,155,640,103,202,44,7,12,60.0,27.0,10.0,46,72.0,1.0,11.0,0.0,1.0,9.0,1.0,142.0,142.0,3649.0,257.0,7.0,5.0,0.0,0.0,0.0,0.0,2183333.0,200000.0,3021732.8720000004,276800.0,3021732.8720000004,0.315625,0.4625,0.37106017191977075,0.9814126394052045,1995,7,2001,stewash01,OF
17286,141,577,103,175,38,6,10,45.0,14.0,2.0,54,60.0,2.0,9.0,0.0,1.0,17.0,1.0,99.0,100.0,2585.0,190.0,3.0,2.0,1.0,0.0,0.0,0.0,4250000.0,200000.0,5792750.000000001,272600.00000000006,5792750.000000001,0.30329289428076256,0.44194107452339687,0.3712948517940718,0.9897435897435898,1995,8,2002,stewash01,OF
17287,136,573,90,176,44,2,13,73.0,4.0,6.0,52,66.0,3.0,6.0,2.0,11.0,10.0,3.0,127.0,127.0,3318.0,281.0,7.0,5.0,0.0,0.0,0.0,0.0,6200000.0,300000.0,8258399.999999999,399599.99999999994,8258399.999999999,0.30715532286212915,0.45898778359511344,0.3644859813084112,0.9829351535836177,1995,9,2003,stewash01,OF
17288,92,378,46,115,17,2,11,47.0,6.0,3.0,47,44.0,4.0,1.0,1.0,3.0,5.0,1.0,71.0,71.0,1918.0,103.0,2.0,3.0,0.0,0.0,0.0,0.0,5500000.0,300000.0,7139000.0,389400.0,7139000.0,0.30423280423280424,0.4470899470899471,0.37995337995337997,0.9722222222222222,1995,10,2004,stewash01,OF
17289,132,551,69,151,27,3,10,56.0,7.0,5.0,34,73.0,2.0,8.0,1.0,5.0,11.0,1.0,125.0,125.0,3321.0,249.0,7.0,4.0,2.0,0.0,0.0,0.0,6000000.0,316000.0,7529999.999999999,396579.99999999994,7529999.999999999,0.27404718693284935,0.38838475499092556,0.32274247491638797,0.9846153846153847,1995,11,2005,stewash01,OF
17290,44,174,21,51,5,1,2,21.0,3.0,1.0,14,19.0,0.0,1.0,0.0,1.0,7.0,1.0,34.0,34.0,858.0,58.0,3.0,1.0,1.0,0.0,0.0,0.0,6500000.0,327000.0,7904000.0,397632.0,7904000.0,0.29310344827586204,0.367816091954023,0.3473684210526316,0.9838709677419355,1995,12,2006,stewash01,OF
17299,114,379,35,86,15,3,2,24.0,4.0,1.0,26,58.0,9.0,1.0,4.0,6.0,6.0,1.0,111.0,109.0,2816.0,250.0,266.0,16.0,66.0,0.0,0.0,0.0,1750000.0,109000.0,3057250.0,190423.0,3057250.0,0.22691292875989447,0.29815303430079154,0.27427184466019416,0.9699248120300752,1986,7,1992,stillku01,2B
17300,79,182,11,42,6,2,1,14.0,6.0,3.0,15,33.0,2.0,1.0,3.0,2.0,4.0,6.0,58.0,44.0,1146.0,93.0,114.0,14.0,21.0,0.0,0.0,0.0,1750000.0,109000.0,2969749.9999999995,184972.99999999997,2969749.9999999995,0.23076923076923078,0.3021978021978022,0.29,0.9366515837104072,1986,8,1993,stillku01,SS
17321,112,336,37,70,11,3,6,25.0,5.0,3.0,27,80.0,1.0,8.0,8.0,2.0,7.0,1.0,110.0,108.0,2820.0,186.0,335.0,11.0,81.0,0.0,0.0,0.0,1800000.0,170000.0,2707200.0,255680.0,2707200.0,0.20833333333333334,0.3125,0.28150134048257375,0.9793233082706767,1993,6,1998,stockke01,SS
17322,79,254,39,76,11,2,1,27.0,9.0,7.0,24,41.0,0.0,4.0,4.0,0.0,4.0,1.0,76.0,73.0,1921.0,137.0,216.0,16.0,55.0,0.0,0.0,0.0,2400000.0,200000.0,3530399.9999999995,294200.0,3530399.9999999995,0.2992125984251969,0.3700787401574803,0.36879432624113473,0.9566395663956639,1993,7,1999,stockke01,SS
