,playerID,yearID,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,Primary,salary,Annual Average,AnnualPercentChange,Mult2017,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,debutYear,seasonNum
42,abreubo01,2008,156,609,100,180,39,4,20,100.0,22.0,11.0,73,109.0,2.0,1.0,0.0,1.0,14.0,1.0,150.0,148.0,3930.0,270.0,10.0,2.0,3.0,0.0,0.0,0.0,OF,16000000.0,647.0,3.80%,1.138,390000.0,18208000.0,443819.99999999994,18208000.0,0.2955665024630542,0.47126436781609193,0.3713450292397661,0.9929078014184397,1996,13
43,abreubo01,2009,152,563,96,165,29,3,15,103.0,30.0,8.0,94,113.0,7.0,1.0,0.0,9.0,15.0,1.0,136.0,136.0,3498.0,269.0,10.0,8.0,4.0,0.0,0.0,0.0,OF,5000000.0,644.7,-0.40%,1.143,400000.0,5715000.0,457200.0,5715000.0,0.29307282415630553,0.4351687388987567,0.38980509745127434,0.9721254355400697,1996,14
44,abreubo01,2010,154,573,88,146,41,1,20,78.0,24.0,10.0,87,132.0,3.0,2.0,0.0,5.0,13.0,1.0,134.0,134.0,3464.0,242.0,7.0,6.0,2.0,0.0,0.0,0.0,OF,9000000.0,655.3,1.60%,1.124,400000.0,10116000.000000002,449600.00000000006,10116000.000000002,0.2547993019197208,0.43455497382198954,0.3523238380809595,0.9764705882352941,1996,15
45,abreubo01,2011,142,502,54,127,30,1,8,60.0,21.0,5.0,78,113.0,5.0,1.0,1.0,3.0,8.0,1.0,28.0,28.0,674.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,OF,9000000.0,676.0,3.20%,1.09,414000.0,9810000.0,451260.00000000006,9810000.0,0.25298804780876494,0.3645418326693227,0.3527397260273973,0.96875,1996,16
46,abreubo01,2012,100,219,29,53,11,1,3,24.0,6.0,2.0,37,56.0,3.0,0.0,0.0,1.0,7.0,3.0,54.0,50.0,1133.0,70.0,2.0,1.0,1.0,0.0,0.0,0.0,OF,9000000.0,689.9,2.10%,1.068,480000.0,9612000.0,512640.0,9612000.0,0.2420091324200913,0.3424657534246575,0.35019455252918286,0.9863013698630136,1996,17
48,abreujo02,2014,145,556,80,176,35,2,36,107.0,3.0,1.0,51,131.0,15.0,11.0,0.0,4.0,14.0,1.0,109.0,109.0,2872.0,970.0,69.0,6.0,105.0,0.0,0.0,0.0,1B,7000000.0,711.4,1.60%,1.035,500000.0,7244999.999999999,517499.99999999994,7244999.999999999,0.31654676258992803,0.5809352517985612,0.38263665594855306,0.9942583732057416,2014,1
49,abreujo02,2015,154,613,88,178,34,3,30,101.0,0.0,0.0,39,140.0,11.0,15.0,0.0,1.0,16.0,1.0,115.0,115.0,3051.0,952.0,60.0,11.0,100.0,0.0,0.0,0.0,1B,8666000.0,712.3,0.10%,1.034,507500.0,8960644.0,524755.0,8960644.0,0.2903752039151713,0.5024469820554649,0.3473053892215569,0.989247311827957,2014,2
50,abreujo02,2016,159,624,67,183,32,1,25,100.0,0.0,2.0,47,125.0,7.0,15.0,0.0,9.0,21.0,1.0,152.0,152.0,4067.0,1243.0,84.0,10.0,131.0,0.0,0.0,0.0,1B,11666667.0,721.2,1.30%,1.021,507500.0,11911667.007,518157.49999999994,11911667.007,0.2932692307692308,0.46794871794871795,0.35251798561151076,0.9925205684367988,2014,3
54,abreuto01,2010,81,193,16,45,11,1,1,13.0,2.0,1.0,4,47.0,0.0,0.0,0.0,4.0,8.0,3.0,47.0,38.0,988.0,43.0,84.0,10.0,16.0,0.0,0.0,0.0,3B,407000.0,655.3,1.60%,1.124,400000.0,457468.00000000006,449600.00000000006,457468.00000000006,0.23316062176165803,0.3160621761658031,0.24378109452736318,0.927007299270073,2007,4
56,abreuto01,2013,53,138,21,37,12,3,2,14.0,0.0,2.0,6,33.0,1.0,1.0,1.0,1.0,5.0,3.0,36.0,25.0,754.0,47.0,66.0,3.0,15.0,0.0,0.0,0.0,2B,498000.0,700.0,1.50%,1.052,490000.0,523896.0,515480.0,523896.0,0.26811594202898553,0.4420289855072464,0.3013698630136986,0.9741379310344828,2007,7
57,abreuto01,2014,3,4,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2B,745000.0,711.4,1.60%,1.035,500000.0,771074.9999999999,517499.99999999994,771074.9999999999,0.0,0.0,0.0,1.0,2007,8
59,ackledu01,2012,153,607,84,137,22,2,12,50.0,13.0,3.0,59,124.0,7.0,0.0,1.0,1.0,3.0,2.0,153.0,147.0,3953.0,289.0,398.0,8.0,96.0,0.0,0.0,0.0,2B,2100000.0,689.9,2.10%,1.068,480000.0,2242800.0,512640.0,2242800.0,0.2257001647446458,0.32784184514003295,0.2938530734632684,0.9884892086330935,2011,2
60,ackledu01,2013,113,384,40,97,18,2,4,31.0,2.0,3.0,37,72.0,1.0,1.0,4.0,1.0,6.0,3.0,118.0,103.0,2850.0,226.0,152.0,1.0,31.0,0.0,0.0,0.0,OF,2700000.0,700.0,1.50%,1.052,490000.0,2840400.0,515480.0,2840400.0,0.2526041666666667,0.3411458333333333,0.3191489361702128,0.9973614775725593,2011,3
61,ackledu01,2014,143,502,64,123,27,4,14,65.0,8.0,4.0,32,90.0,1.0,3.0,3.0,2.0,10.0,1.0,133.0,127.0,3390.0,245.0,4.0,2.0,2.0,0.0,0.0,0.0,OF,1700000.0,711.4,1.60%,1.035,500000.0,1759499.9999999998,517499.99999999994,1759499.9999999998,0.2450199203187251,0.398406374501992,0.29313543599257885,0.9920318725099602,2011,4
62,ackledu01,2015,108,238,28,55,11,3,10,30.0,2.0,2.0,18,45.0,0.0,1.0,3.0,4.0,3.0,8.0,96.0,67.0,1852.0,143.0,18.0,1.0,4.0,0.0,0.0,0.0,OF,2600000.0,712.3,0.10%,1.034,507500.0,2688400.0,524755.0,2688400.0,0.23109243697478993,0.42857142857142855,0.2835249042145594,0.9938271604938271,2011,5
63,ackledu01,2016,28,61,6,9,0,0,0,4.0,0.0,0.0,8,9.0,0.0,0.0,0.0,1.0,0.0,3.0,23.0,16.0,421.0,89.0,8.0,0.0,8.0,0.0,0.0,0.0,1B,3200000.0,721.2,1.30%,1.021,507500.0,3267199.9999999995,518157.49999999994,3267199.9999999995,0.14754098360655737,0.14754098360655737,0.24285714285714285,1.0,2011,6
66,adamecr01,2016,121,225,25,49,7,3,2,17.0,2.0,3.0,24,47.0,0.0,4.0,3.0,0.0,5.0,3.0,69.0,43.0,1245.0,68.0,138.0,6.0,24.0,0.0,0.0,0.0,SS,509500.0,721.2,1.30%,1.021,507500.0,520199.49999999994,518157.49999999994,520199.49999999994,0.21777777777777776,0.3022222222222222,0.30434782608695654,0.9716981132075472,2014,3
68,adamsda02,2013,43,140,10,27,5,1,2,13.0,0.0,0.0,9,43.0,0.0,2.0,1.0,0.0,4.0,3.0,44.0,38.0,1020.0,56.0,76.0,1.0,12.0,0.0,0.0,0.0,3B,540000.0,700.0,1.50%,1.052,490000.0,568080.0,515480.0,568080.0,0.19285714285714287,0.2857142857142857,0.25165562913907286,0.9924812030075187,2013,1
72,adamsma01,2013,108,296,46,84,14,0,17,51.0,0.0,1.0,23,80.0,0.0,0.0,0.0,0.0,9.0,1.0,74.0,63.0,1793.0,598.0,50.0,2.0,70.0,0.0,0.0,0.0,1B,490000.0,700.0,1.50%,1.052,490000.0,515480.0,515480.0,515480.0,0.28378378378378377,0.5033783783783784,0.335423197492163,0.9969230769230769,2012,2
73,adamsma01,2014,142,527,55,152,34,5,15,68.0,3.0,2.0,26,114.0,5.0,3.0,0.0,7.0,9.0,1.0,133.0,132.0,3489.0,1115.0,80.0,9.0,111.0,0.0,0.0,0.0,1B,516000.0,711.4,1.60%,1.035,500000.0,534060.0,517499.99999999994,534060.0,0.2884250474383302,0.4573055028462998,0.32149200710479575,0.9925249169435216,2012,3
74,adamsma01,2015,60,175,14,42,9,0,5,24.0,1.0,0.0,10,41.0,1.0,0.0,0.0,1.0,1.0,1.0,46.0,42.0,1056.0,321.0,32.0,3.0,30.0,0.0,0.0,0.0,1B,534000.0,712.3,0.10%,1.034,507500.0,552156.0,524755.0,552156.0,0.24,0.37714285714285717,0.27956989247311825,0.9915730337078652,2012,4
75,adamsma01,2016,118,297,37,74,18,0,16,54.0,0.0,1.0,25,81.0,1.0,2.0,0.0,3.0,5.0,1.0,86.0,69.0,1805.0,617.0,71.0,7.0,62.0,0.0,0.0,0.0,1B,1650000.0,721.2,1.30%,1.021,507500.0,1684649.9999999998,518157.49999999994,1684649.9999999998,0.24915824915824916,0.4713804713804714,0.308868501529052,0.9899280575539569,2012,5
79,adamsru01,2005,139,481,68,123,27,5,8,63.0,11.0,2.0,50,57.0,1.0,3.0,3.0,8.0,5.0,1.0,132.0,122.0,3300.0,194.0,326.0,26.0,68.0,0.0,0.0,0.0,SS,316000.0,586.9,3.40%,1.255,316000.0,396579.99999999994,396579.99999999994,396579.99999999994,0.25571725571725573,0.38253638253638256,0.3247232472324723,0.9523809523809523,2004,2
80,adamsru01,2006,90,251,31,55,14,1,3,28.0,1.0,2.0,22,41.0,0.0,1.0,3.0,3.0,5.0,2.0,86.0,66.0,1787.0,100.0,186.0,12.0,36.0,0.0,0.0,0.0,2B,343000.0,605.8,3.20%,1.216,327000.0,417088.0,397632.0,417088.0,0.21912350597609562,0.3187250996015936,0.2815884476534296,0.959731543624161,2004,3
88,adducji02,2014,44,101,13,17,3,0,1,8.0,3.0,1.0,10,27.0,0.0,0.0,1.0,2.0,2.0,2.0,31.0,24.0,659.0,73.0,2.0,0.0,0.0,0.0,0.0,0.0,OF,501000.0,711.4,1.60%,1.035,500000.0,518534.99999999994,517499.99999999994,518534.99999999994,0.16831683168316833,0.22772277227722773,0.23893805309734514,1.0,2013,2
91,adriaeh01,2014,53,97,10,23,6,0,0,5.0,1.0,1.0,5,22.0,1.0,1.0,2.0,1.0,2.0,3.0,35.0,20.0,594.0,32.0,70.0,2.0,12.0,0.0,0.0,0.0,2B,500500.0,711.4,1.60%,1.035,500000.0,518017.49999999994,517499.99999999994,518017.49999999994,0.23711340206185566,0.29896907216494845,0.27884615384615385,0.9807692307692307,2013,2
93,adriaeh01,2016,40,63,3,16,2,0,2,7.0,0.0,1.0,2,13.0,0.0,2.0,4.0,0.0,0.0,3.0,27.0,10.0,334.0,11.0,33.0,2.0,4.0,0.0,0.0,0.0,SS,512500.0,721.2,1.30%,1.021,507500.0,523262.49999999994,518157.49999999994,523262.49999999994,0.25396825396825395,0.38095238095238093,0.29850746268656714,0.9565217391304348,2013,4
96,afenitr01,1990,14,14,0,2,0,0,0,2.0,0.0,0.0,0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,2.0,99.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,C,100000.0,392.6,5.40%,1.876,100000.0,187600.0,187600.0,187600.0,0.14285714285714285,0.14285714285714285,0.13333333333333333,1.0,1987,4
98,afenitr01,1992,16,34,3,6,1,2,0,4.0,0.0,0.0,5,12.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,10.0,278.0,57.0,2.0,0.0,1.0,1.0,5.0,1.0,C,130000.0,421.7,3.00%,1.7469999999999999,109000.0,227109.99999999997,190423.0,227109.99999999997,0.17647058823529413,0.3235294117647059,0.28205128205128205,1.0,1987,6
100,agbaybe01,1999,101,276,42,79,18,3,14,42.0,6.0,4.0,32,60.0,4.0,3.0,0.0,3.0,8.0,1.0,80.0,70.0,1791.0,121.0,2.0,2.0,0.0,0.0,0.0,0.0,OF,200000.0,500.6,2.20%,1.4709999999999999,200000.0,294200.0,294200.0,294200.0,0.286231884057971,0.5253623188405797,0.3630573248407643,0.984,1998,2
101,agbaybe01,2000,119,350,59,101,19,1,15,60.0,5.0,5.0,54,68.0,2.0,7.0,0.0,3.0,6.0,1.0,110.0,94.0,2326.0,155.0,3.0,4.0,0.0,0.0,0.0,0.0,OF,220000.0,517.5,3.40%,1.423,200000.0,313060.0,284600.0,313060.0,0.2885714285714286,0.47714285714285715,0.391304347826087,0.9753086419753086,1998,3
